director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Ben Falcone, Jacki Weaver, Stephen Root, Stephen Root,Comedy,life of the party, Jacki Weaver  Stephen Root  Stephen Root Ben Falcone Comedy
James McTeigue, Christa Miller, Seth Carr, Seth Carr,Thriller Crime Action,breaking in, Christa Miller  Seth Carr  Seth Carr James McTeigue Thriller Crime Action
Michael Mayer, Brian Dennehy, Billy Howle, Billy Howle,Drama Romance Comedy,the seagull, Brian Dennehy  Billy Howle  Billy Howle Michael Mayer Drama Romance Comedy
Vaughn Stein, Mike Myers, Max Irons, Max Irons,Crime Drama Thriller,terminal, Mike Myers  Max Irons  Max Irons Vaughn Stein Crime Drama Thriller
David Leitch, Jack Kesy, Brianna Hildebrand, Brianna Hildebrand,Action Comedy Adventure,deadpool 2, Jack Kesy  Brianna Hildebrand  Brianna Hildebrand David Leitch Action Comedy Adventure
Bill Holderman, Mary Steenburgen, Candice Bergen, Candice Bergen,Horror Thriller,book club, Mary Steenburgen  Candice Bergen  Candice Bergen Bill Holderman Horror Thriller
Paul Schrader, Cedric the Entertainer, Amanda Seyfried, Amanda Seyfried,Drama,first reformed, Cedric the Entertainer  Amanda Seyfried  Amanda Seyfried Paul Schrader Drama
Raja Gosnell, Stanley Tucci, Omar Chaparro, Omar Chaparro,Adventure Crime Family Comedy,show dogs, Stanley Tucci  Omar Chaparro  Omar Chaparro Raja Gosnell Adventure Crime Family Comedy
Ron Howard, Paul Bettany, Joonas Suotamo, Joonas Suotamo,Science Fiction Adventure Action,solo: a star wars story, Paul Bettany  Joonas Suotamo  Joonas Suotamo Ron Howard Science Fiction Adventure Action
John Cameron Mitchell, Matt Lucas, Ruth Wilson, Ruth Wilson,Comedy Music Romance Science Fiction,how to talk to girls at parties, Matt Lucas  Ruth Wilson  Ruth Wilson John Cameron Mitchell Comedy Music Romance Science Fiction
Anthony Byrne, Olegar Fedoro, Joely Richardson, Joely Richardson,Thriller Mystery,in darkness, Olegar Fedoro  Joely Richardson  Joely Richardson Anthony Byrne Thriller Mystery
James Franco, Milla Jovovich, Lucy Liu, Lucy Liu,Science Fiction,future world, Milla Jovovich  Lucy Liu  Lucy Liu James Franco Science Fiction
Tim Kirkby, Chris Pontius, Dave Krinsky (screenplay); Johnny Knoxville, Dave Krinsky (screenplay); Johnny Knoxville,Comedy,action point, Chris Pontius  Dave Krinsky (screenplay); Johnny Knoxville  Dave Krinsky (screenplay); Johnny Knoxville Tim Kirkby Comedy
Baltasar Kormákur, Sam Claflin, David Branson Smith (screenplay); Shailene Woodley, David Branson Smith (screenplay); Shailene Woodley,Thriller Romance Adventure,adrift, Sam Claflin  David Branson Smith (screenplay); Shailene Woodley  David Branson Smith (screenplay); Shailene Woodley Baltasar Kormákur Thriller Romance Adventure
Leigh Whannell, Harrison Gilbertson, Betty Gabriel, Betty Gabriel,Action Thriller Science Fiction,upgrade, Harrison Gilbertson  Betty Gabriel  Betty Gabriel Leigh Whannell Action Thriller Science Fiction
Bart Layton, Ann Dowd, Udo Kier, Udo Kier,Drama Crime Documentary,american animals, Ann Dowd  Udo Kier  Udo Kier Bart Layton Drama Crime Documentary
Theresa Bennett, Samira Wiley, Fortune Feimster, Fortune Feimster,Comedy Romance,social animals, Samira Wiley  Fortune Feimster  Fortune Feimster Theresa Bennett Comedy Romance
Gary Ross, Helena Bonham Carter, Rihanna, Rihanna,Crime Comedy Action,ocean's 8, Helena Bonham Carter  Rihanna  Rihanna Gary Ross Crime Comedy Action
Morgan Neville, Joanne Rogers, Tom Junod, Tom Junod,Documentary,won't you be my neighbor?, Joanne Rogers  Tom Junod  Tom Junod Morgan Neville Documentary
Ari Aster, Gabriel Byrne, Ann Dowd, Ann Dowd,Horror Mystery Thriller,hereditary, Gabriel Byrne  Ann Dowd  Ann Dowd Ari Aster Horror Mystery Thriller
Drew Pearce, Dave Bautista, Charlie Day, Charlie Day,Thriller Science Fiction Action,hotel artemis, Dave Bautista  Charlie Day  Charlie Day Drew Pearce Thriller Science Fiction Action
Director X, Jennifer Morrison, Lex Scott Davis, Lex Scott Davis,Action Crime,superfly, Jennifer Morrison  Lex Scott Davis  Lex Scott Davis Director X Action Crime
Brad Bird, Jonathan Banks, Catherine Keener, Catherine Keener,Action Adventure Animation Family,incredibles 2, Jonathan Banks  Catherine Keener  Catherine Keener Brad Bird Action Adventure Animation Family
Jeff Tomsic, Jeremy Renner, Jon Hamm, Jon Hamm,Comedy Action,tag, Jeremy Renner  Jon Hamm  Jon Hamm Jeff Tomsic Comedy Action
